Aller;river;ST,NI
Altmühl;river;BY
Donau;river;BW,BY
Eger;river;BY
Elbe;river;SN,BB,ST,NI,MV,SH,HH
Elde;river;MV
Ems;river;NW,NI
Fulda;river;HE,NI
Havel;river;MV,BB,BE,ST
Inn;river;BY
Isar;river;BY
Kocher;river;BW
Lahn;river;NW,HE,RP
Lech;river;BY
Leine;river;TH,NI
Lippe;river;NW
Main;river;BY,HE,BW
Mosel;river;SL,RP
Mulde;river;CZ,SN,ST
Neckar;river;BW,HE
Oder;river;BB
Rhein;river;BY,BW,RP,HE,NW
Ruhr;river;NW
Saale;river;BY,TH,ST
Saar;river;SL,RP
Salzach;river;BY
Spree;river;SN,BB, BE
Weiße Elster;river;SN,TH,ST
Werra;river;TH,HE,NI
Weser;river;TH,HE,NI,NW,HB